#epoch,#try,loss,val_loss,mae,val_mae,train_time
5,0,"[0.049901027232408524, 0.025895442813634872, 0.019080691039562225, 0.019682778045535088, 0.017132913693785667]","[0.018034040927886963, 0.003997871186584234, 0.008144697174429893, 0.012386970221996307, 0.013074950315058231]","[0.18058066070079803, 0.12774690985679626, 0.1125975251197815, 0.11358602344989777, 0.10439139604568481]","[0.12350048869848251, 0.04829058051109314, 0.07551176846027374, 0.09660132974386215, 0.09932641685009003]",27.49782919883728
5,1,"[0.04987206682562828, 0.022563302889466286, 0.022551506757736206, 0.017473937943577766, 0.01628117263317108]","[0.03271621838212013, 0.012836246751248837, 0.022789940237998962, 0.016812516376376152, 0.008708659559488297]","[0.17202483117580414, 0.12064780294895172, 0.12012644857168198, 0.10787699371576309, 0.10339546948671341]","[0.17196951806545258, 0.09872084856033325, 0.14027629792690277, 0.11668343842029572, 0.07821618765592575]",26.651450872421265
5,2,"[0.056427665054798126, 0.028820974752306938, 0.02349846251308918, 0.017948195338249207, 0.01731228455901146]","[0.008409000933170319, 0.0188042800873518, 0.008369379676878452, 0.010469475761055946, 0.015191626735031605]","[0.17881643772125244, 0.14175520837306976, 0.12339295446872711, 0.10668832063674927, 0.1065516248345375]","[0.07691215723752975, 0.12667712569236755, 0.07614833861589432, 0.08733401447534561, 0.11001965403556824]",26.448623180389404
5,3,"[0.05232342332601547, 0.026602312922477722, 0.021849868819117546, 0.016047004610300064, 0.02239544689655304]","[0.02491171658039093, 0.02266254648566246, 0.030376872047781944, 0.01788313314318657, 0.016977589577436447]","[0.18221628665924072, 0.13509123027324677, 0.11426340043544769, 0.10463549941778183, 0.11699678748846054]","[0.14923621714115143, 0.14170806109905243, 0.1657010167837143, 0.12228043377399445, 0.11786874383687973]",26.594964742660522
5,4,"[0.04033227264881134, 0.0220133438706398, 0.018873123452067375, 0.019464021548628807, 0.01738392561674118]","[0.010652578435838223, 0.011761090718209743, 0.012162119150161743, 0.014715781435370445, 0.015556900762021542]","[0.15873660147190094, 0.11692573875188828, 0.11467740684747696, 0.10805155336856842, 0.10713782161474228]","[0.08913407474756241, 0.09463014453649521, 0.09594812244176865, 0.10753040760755539, 0.11164207756519318]",30.561858654022217
5,5,"[0.06189200282096863, 0.0315643809735775, 0.018091116100549698, 0.017490537837147713, 0.017283441498875618]","[0.014807951636612415, 0.017968077212572098, 0.004851499572396278, 0.01917470246553421, 0.005722643807530403]","[0.19133149087429047, 0.1444457471370697, 0.10469572246074677, 0.10236334800720215, 0.1054667979478836]","[0.11016624420881271, 0.12376920878887177, 0.054946668446063995, 0.1270550787448883, 0.06110313907265663]",28.93751573562622
5,6,"[0.04963500797748566, 0.02570023573935032, 0.021105697378516197, 0.019066959619522095, 0.017756065353751183]","[0.0168109480291605, 0.014488223940134048, 0.014702717773616314, 0.01635160855948925, 0.01618962734937668]","[0.1678582727909088, 0.1238495409488678, 0.11759248375892639, 0.11038994044065475, 0.10882578790187836]","[0.11917707324028015, 0.10861635953187943, 0.10814212262630463, 0.11472464352846146, 0.11316424608230591]",27.77601933479309
5,7,"[0.046876855194568634, 0.025806153193116188, 0.02384297549724579, 0.02112039178609848, 0.016943667083978653]","[0.026104075834155083, 0.023925304412841797, 0.024326100945472717, 0.010528306476771832, 0.005104233045130968]","[0.16646286845207214, 0.12946148216724396, 0.12300114333629608, 0.12398257106542587, 0.10509015619754791]","[0.15266400575637817, 0.14537854492664337, 0.14650675654411316, 0.0879804790019989, 0.057368744164705276]",27.554008960723877
5,8,"[0.04209759086370468, 0.026398198679089546, 0.020530834794044495, 0.017893094569444656, 0.01979639008641243]","[0.00863639172166586, 0.009035108610987663, 0.017843427136540413, 0.013870428316295147, 0.014977982267737389]","[0.15906482934951782, 0.12913645803928375, 0.11239083856344223, 0.10669434815645218, 0.11543440818786621]","[0.07916123420000076, 0.08119907975196838, 0.12338842451572418, 0.10549156367778778, 0.11050056666135788]",27.61030673980713
5,9,"[0.04020772874355316, 0.02825658954679966, 0.019512757658958435, 0.01825309731066227, 0.015327884815633297]","[0.01924782618880272, 0.026090258732438087, 0.02577461488544941, 0.028409169986844063, 0.014453956857323647]","[0.16456149518489838, 0.13076938688755035, 0.11126714199781418, 0.11071381717920303, 0.09913769364356995]","[0.12808950245380402, 0.15195856988430023, 0.15072761476039886, 0.1591518372297287, 0.10578413307666779]",28.541749238967896
10,0,"[0.035387180745601654, 0.02756677009165287, 0.02372671477496624, 0.01682666689157486, 0.013836432248353958, 0.014780165627598763, 0.016277769580483437, 0.01342806126922369, 0.01204038318246603, 0.013115976937115192]","[0.009715001098811626, 0.015154318884015083, 0.01377491932362318, 0.005422608461230993, 0.024319838732481003, 0.011478427797555923, 0.012377121485769749, 0.031432054936885834, 0.011287719942629337, 0.012166612781584263]","[0.14855796098709106, 0.12918588519096375, 0.1276639997959137, 0.10420949757099152, 0.09883297234773636, 0.09895291924476624, 0.10213630646467209, 0.09095113724470139, 0.09014640003442764, 0.09262587130069733]","[0.08524905890226364, 0.11230279505252838, 0.1056130900979042, 0.05911494791507721, 0.14694839715957642, 0.09467144310474396, 0.09930207580327988, 0.17023438215255737, 0.09328032284975052, 0.09702351689338684]",46.911662578582764
10,1,"[0.046998925507068634, 0.02893824502825737, 0.020214876160025597, 0.02149691805243492, 0.015391537919640541, 0.016022736206650734, 0.014870050363242626, 0.0180863905698061, 0.012150065042078495, 0.014867037534713745]","[0.021917415782809258, 0.005234547890722752, 0.006953151430934668, 0.008075723424553871, 0.019337093457579613, 0.017656199634075165, 0.01904628612101078, 0.020865675061941147, 0.00585002638399601, 0.005528152920305729]","[0.1629801243543625, 0.13458089530467987, 0.11544936895370483, 0.12197044491767883, 0.09911824017763138, 0.10385934263467789, 0.09478338062763214, 0.1094202771782875, 0.08860548585653305, 0.09773949533700943]","[0.1386759728193283, 0.05719038471579552, 0.0682898536324501, 0.0748336911201477, 0.12796851992607117, 0.12091066688299179, 0.12662354111671448, 0.1336563676595688, 0.061731282621622086, 0.060000404715538025]",47.24385213851929
10,2,"[0.041431330144405365, 0.027123810723423958, 0.022298378869891167, 0.021360840648412704, 0.016140026971697807, 0.015479289926588535, 0.017859557643532753, 0.015480785630643368, 0.013045474886894226, 0.014978490769863129]","[0.036555737257003784, 0.015392366796731949, 0.010668005794286728, 0.015781963244080544, 0.016168992966413498, 0.017629576846957207, 0.01038084551692009, 0.01105679664760828, 0.0069054774940013885, 0.004884549882262945]","[0.16897888481616974, 0.1328316628932953, 0.12134052067995071, 0.12160231173038483, 0.10375775396823883, 0.1011728048324585, 0.10651811957359314, 0.09867680072784424, 0.09306532144546509, 0.09610801935195923]","[0.18370752036571503, 0.11253780126571655, 0.08900991827249527, 0.11249133944511414, 0.11377286911010742, 0.11975294351577759, 0.08647201955318451, 0.08986620604991913, 0.06831590086221695, 0.054912179708480835]",46.91029906272888
10,3,"[0.03272147476673126, 0.026026559993624687, 0.021063746884465218, 0.01699615828692913, 0.01634807325899601, 0.01614154316484928, 0.014129526913166046, 0.012999686412513256, 0.014008615165948868, 0.010483648627996445]","[0.008125805296003819, 0.007748545613139868, 0.00840887799859047, 0.00974156055599451, 0.017988134175539017, 0.014469149522483349, 0.007097512949258089, 0.007442031521350145, 0.019623680040240288, 0.004734618589282036]","[0.14504021406173706, 0.12844236195087433, 0.11930575221776962, 0.10417324304580688, 0.10169708728790283, 0.09946402907371521, 0.09759404510259628, 0.09368614107370377, 0.09529907256364822, 0.08423073589801788]","[0.07462839782238007, 0.07289126515388489, 0.07674045860767365, 0.08371204137802124, 0.12174969166517258, 0.1062106117606163, 0.0693819671869278, 0.07136610150337219, 0.12751026451587677, 0.05596282705664635]",46.54103922843933
