Close,Compound,Predicted,Difference,% Diff,Volume,Daily Lag,Predicted Daily Lag,Daily Returns,Predicted Daily Returns,Predicted Daily Return Percentage Diff,Adj Close,MA-3,MA-5,MA-10,,
283.7,0.148570787,271.98,11.72,4.13%,50028900,274.4200134,274.3093,0.03382,-0.0085,125.14%,283.7000122,276.1100057,276.2200012,282.4876709,,-2.33
289.26,0.126151648,272.26,17,5.88%,53713100,283.7000122,271.97693,0.0196,0.00105,94.64%,289.2600098,282.4600118,278.9500061,281.7040039,,0.28
299.68,0.178414141,274.65,25.03,8.35%,54338100,289.2600098,272.2627,0.03602,0.00877,75.65%,299.6799927,290.8800049,283.4540039,282.0650024,,2.39
304.42,0.0881,280.7,23.72,7.79%,48674600,299.6799927,274.65054,0.01582,0.02201,39.17%,304.4200134,297.786672,290.2960083,283.6980042,,6.05
292.13,0.167093151,286.7,5.43,1.86%,68229600,304.4200134,280.69638,-0.04037,0.02139,152.99%,292.1300049,298.743337,293.8380066,284.4290039,,6.00
302.61,0.178034259,290.84,11.77,3.89%,72628700,292.1300049,286.70163,0.03587,0.01443,59.77%,302.6099854,299.7200012,297.6200012,286.9200012,,4.14
303.75,0.174844681,295.38,8.37,2.75%,64795500,302.6099854,290.83942,0.00377,0.01563,314.76%,303.75,299.4966634,300.5179993,289.7340027,,4.54
303.35,0.222969697,299.14,4.21,1.39%,87087800,303.75,295.3838,-0.00132,0.01273,1066.70%,303.3500061,303.2366638,301.252002,292.3530029,,3.76
309.07,0.124310345,302.4,6.67,2.16%,60231200,303.3500061,299.14404,0.01886,0.01089,42.26%,309.0700073,305.3900045,302.1820007,296.2390045,,3.26
308.73,0.088340741,303.99,4.74,1.54%,61642800,309.0700073,302.4011,-0.0011,0.00526,577.76%,308.730011,307.0500081,305.502002,299.6700043,,1.59
300.8,0.09992037,304.1,3.3,1.10%,62555700,308.730011,303.99042,-0.02569,0.00035,101.37%,300.7999878,306.200002,305.1400024,301.3800018,,0.11
288.59,0.100909639,302.31,13.72,4.75%,70545400,300.7999878,304.09723,-0.04059,-0.00589,85.49%,288.5899963,299.3733317,302.1080017,301.3130005,,-1.79
275.33,0.124760465,297.71,22.38,8.13%,63748400,288.5899963,302.30618,-0.04595,-0.01521,66.90%,275.3299866,288.2399902,296.5039978,298.8779999,,-4.60
276.01,0.130479167,290.62,14.61,5.29%,58076900,275.3299866,297.70905,0.00247,-0.02381,1064.01%,276.0100098,279.9766642,289.8919983,296.0369995,,-7.09
282.94,0.178928235,283.78,0.84,0.30%,61925200,276.0100098,290.6207,0.02511,-0.02354,193.75%,282.9400024,278.0933329,284.7339966,295.1179993,,-6.84
287.81,0.110548,280.05,7.76,2.70%,54664800,282.9400024,283.7802,0.01721,-0.01315,176.39%,287.8099976,282.2533366,282.1359985,293.6380005,,-3.73
268.21,0.078078571,277.98,9.77,3.64%,77620600,287.8099976,280.0489,-0.0681,-0.00738,89.16%,268.2099915,279.6533305,278.0599976,290.0839996,,-2.07
,,,,3.31%,,,,,,,,,,,,
,,,,,,,,,,322.65%,,,,,,
,,,,,,,,,,,,,,,,
,,,,8.99%,,,,,,1.17%,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7/21/2022,271.706665,0.120248,247.286774,24.419891,8.987594,142032300,NaN,NaN,NaN,NaN,NaN,271.706665,NaN,NaN,NaN,
7/22/2022,272.243347,0.194502,253.763611,18.479736,6.787948,103472700,271.706665,247.286774,-0.001971,-0.025523,-1194.71449,272.243347,NaN,NaN,NaN,
7/25/2022,268.433319,0.222251,262.671265,5.762054,2.14655,64073400,272.243347,253.763611,0.014194,-0.033912,338.923371,268.433319,270.794444,NaN,NaN,
7/26/2022,258.859985,0.085758,270.373962,-11.513977,-4.447956,66820800,268.433319,262.671265,0.036983,-0.028489,177.033519,258.859985,266.512217,NaN,NaN,
7/27/2022,274.820007,0.133076,271.849182,2.970825,1.081008,88110000,258.859985,270.373962,-0.058074,-0.005427,90.655813,274.820007,267.371104,269.212665,NaN,
7/28/2022,280.899994,0.25898,274.578033,6.32196,2.250609,84723000,274.820007,271.849182,-0.021645,-0.009938,54.084026,280.899994,271.526662,271.051331,NaN,
7/29/2022,297.149994,0.187413,280.131927,17.018066,5.727096,95313000,280.899994,274.578033,-0.054686,-0.019826,63.745881,297.149994,284.289998,276.03266,NaN,
8/1/2022,297.276672,0.151538,287.278198,9.998474,3.363356,117042900,297.149994,280.131927,-0.000426,-0.024876,-5737.60079,297.276672,291.775553,281.801331,NaN,
