#epoch,#try,MAE,MSE,RMSE,MAPE,train_time
5,1,13.296661547851562,273.85333320910036,16.548514531797117,4.643435444729515,11.698143243789673
10,0,14.736542834472656,348.36525936143494,18.664545517141182,5.1398256690597925,17.00840973854065
10,1,13.92316455078125,305.7195950321637,17.48483900503987,4.875477669621149,18.901936531066895
