#neuron,#try,loss,val_loss,mae,val_mae,train_time
5,10,"[0.0793682262301445, 0.036826830357313156, 0.03330814465880394, 0.02752014435827732, 0.028064915910363197, 0.023013459518551826, 0.021942324936389923, 0.022570637986063957, 0.02173847146332264, 0.019771995022892952]","[0.054595138877630234, 0.017852159217000008, 0.021891815587878227, 0.015226217918097973, 0.013506798073649406, 0.026265261694788933, 0.015761103481054306, 0.019146660342812538, 0.010438458994030952, 0.009611248970031738]","[0.2208784967660904, 0.15396933257579803, 0.14689132571220398, 0.13260875642299652, 0.13391415774822235, 0.1239887923002243, 0.12047883123159409, 0.11644815653562546, 0.11539912968873978, 0.1149226501584053]","[0.22802314162254333, 0.1239502876996994, 0.1391875445842743, 0.11343575268983841, 0.1057671532034874, 0.15425659716129303, 0.1155635192990303, 0.1285935491323471, 0.08858603239059448, 0.08397123217582703]",49.767555713653564
5,11,"[0.0757008045911789, 0.043627411127090454, 0.03989487886428833, 0.02907276339828968, 0.02671297825872898, 0.027675054967403412, 0.02077784389257431, 0.025776740163564682, 0.018521759659051895, 0.018344324082136154]","[0.049113091081380844, 0.04012524336576462, 0.04282824322581291, 0.021818038076162338, 0.02169773355126381, 0.015227503143250942, 0.023709652945399284, 0.02624782733619213, 0.01599326729774475, 0.0208072941750288]","[0.2183048278093338, 0.17110539972782135, 0.16444100439548492, 0.13445945084095, 0.13429799675941467, 0.13406407833099365, 0.12242709845304489, 0.12542712688446045, 0.11136336624622345, 0.11076042056083679]","[0.21484631299972534, 0.1929107904434204, 0.1998000144958496, 0.1379588395357132, 0.13721045851707458, 0.11105925589799881, 0.14367087185382843, 0.15198291838169098, 0.11369548738002777, 0.13263559341430664]",50.77907633781433
5,12,"[0.06250913441181183, 0.039207179099321365, 0.02813166007399559, 0.02831670455634594, 0.02117139659821987, 0.020874088630080223, 0.01977545954287052, 0.022212127223610878, 0.015160678885877132, 0.017728125676512718]","[0.04851967468857765, 0.05886484682559967, 0.01572469063103199, 0.00853056088089943, 0.009211141616106033, 0.013899078592658043, 0.00524057587608695, 0.017401793971657753, 0.008597762323915958, 0.006468359846621752]","[0.1984882354736328, 0.16357633471488953, 0.13213425874710083, 0.12856446206569672, 0.11322639137506485, 0.11483792215585709, 0.115681953728199, 0.11672370880842209, 0.09955362975597382, 0.10862969607114792]","[0.21373522281646729, 0.2359255701303482, 0.1122310608625412, 0.07639101147651672, 0.0800529345870018, 0.10231254249811172, 0.055756449699401855, 0.11752104759216309, 0.07736895233392715, 0.06493484973907471]",46.222100496292114
5,13,"[0.13728509843349457, 0.05191437527537346, 0.0347457118332386, 0.03417810797691345, 0.023978743702173233, 0.026326628401875496, 0.02260470576584339, 0.024063942953944206, 0.01792721450328827, 0.01794176548719406]","[0.050840552896261215, 0.02686142735183239, 0.025578832253813744, 0.017470860853791237, 0.021096842363476753, 0.029486287385225296, 0.014877041801810265, 0.013446926139295101, 0.022499633952975273, 0.015581060200929642]","[0.276017427444458, 0.18825966119766235, 0.15088826417922974, 0.1543925404548645, 0.12128783762454987, 0.12415944039821625, 0.12482501566410065, 0.12269079685211182, 0.10458485782146454, 0.10680601000785828]","[0.2204635590314865, 0.15720310807228088, 0.15306201577186584, 0.12355880439281464, 0.13724900782108307, 0.16463546454906464, 0.11150142550468445, 0.10470570623874664, 0.14111022651195526, 0.11404533684253693]",51.02921414375305
5,14,"[0.047689978033304214, 0.03254590183496475, 0.027080604806542397, 0.025141442194581032, 0.02217663824558258, 0.02321002073585987, 0.018238523975014687, 0.016175001859664917, 0.016582254320383072, 0.02037273906171322]","[0.03661166876554489, 0.01262872014194727, 0.0268603153526783, 0.004402136895805597, 0.008608641102910042, 0.008226776495575905, 0.011782418936491013, 0.01094611082226038, 0.010365365073084831, 0.012725699692964554]","[0.16999498009681702, 0.14710548520088196, 0.13136664032936096, 0.12963660061359406, 0.11795363575220108, 0.12281659245491028, 0.11115655303001404, 0.1029682531952858, 0.10538586229085922, 0.11733150482177734]","[0.18283753097057343, 0.09814683347940445, 0.15356388688087463, 0.05061560496687889, 0.07669984549283981, 0.07467588037252426, 0.0922999158501625, 0.08846155554056168, 0.08569030463695526, 0.09639196842908859]",52.24195647239685
5,15,"[0.09539099782705307, 0.04418110102415085, 0.027559855952858925, 0.026806233450770378, 0.025603871792554855, 0.028906894847750664, 0.021841436624526978, 0.020365141332149506, 0.02107744663953781, 0.016260460019111633]","[0.06990092247724533, 0.042400628328323364, 0.019530633464455605, 0.011269964277744293, 0.03529779985547066, 0.02909931354224682, 0.023613328114151955, 0.0184885635972023, 0.017874039709568024, 0.01644415594637394]","[0.24867847561836243, 0.17237690091133118, 0.13346068561077118, 0.13081784546375275, 0.12573084235191345, 0.13661982119083405, 0.11776135861873627, 0.11091240495443344, 0.11716128885746002, 0.09529276937246323]","[0.2589693069458008, 0.1990797370672226, 0.13077886402606964, 0.09435385465621948, 0.18099969625473022, 0.16292250156402588, 0.1455821394920349, 0.1264721304178238, 0.12364435195922852, 0.11821575462818146]",50.79482889175415
5,16,"[0.07174379378557205, 0.033940404653549194, 0.0226125568151474, 0.023187411949038506, 0.02378193289041519, 0.01983562856912613, 0.01995590329170227, 0.016227886080741882, 0.019001517444849014, 0.017550267279148102]","[0.04119407385587692, 0.027129260823130608, 0.011937334202229977, 0.013450052589178085, 0.019239995628595352, 0.006881787441670895, 0.008891498669981956, 0.018068326637148857, 0.007728198543190956, 0.009951937012374401]","[0.21883632242679596, 0.15198077261447906, 0.11537250876426697, 0.11677322536706924, 0.12145349383354187, 0.11278167366981506, 0.10881397873163223, 0.1025417149066925, 0.11293075978755951, 0.11084166914224625]","[0.196416437625885, 0.15698391199111938, 0.09784425795078278, 0.10550110787153244, 0.13000787794589996, 0.06945013254880905, 0.08134207874536514, 0.12530356645584106, 0.07446349412202835, 0.08701366931200027]",49.23590803146362
5,17,"[0.045286402106285095, 0.028225451707839966, 0.027559775859117508, 0.024001523852348328, 0.02031891606748104, 0.019376493990421295, 0.01841501146554947, 0.020425977185368538, 0.020321158692240715, 0.013656542636454105]","[0.03789018094539642, 0.013984914869070053, 0.031716592609882355, 0.028668519109487534, 0.022400181740522385, 0.016935022547841072, 0.020326996222138405, 0.019055401906371117, 0.035256583243608475, 0.01878390461206436]","[0.17136222124099731, 0.1349581927061081, 0.1366851031780243, 0.12304763495922089, 0.11683770269155502, 0.11549461632966995, 0.11262580007314682, 0.11510148644447327, 0.11632528901100159, 0.09864576905965805]","[0.18772856891155243, 0.1077919453382492, 0.17127534747123718, 0.16184090077877045, 0.14111636579036713, 0.11959090083837509, 0.1327630877494812, 0.12846536934375763, 0.1805415153503418, 0.12731175124645233]",50.323370933532715
5,18,"[0.05745169147849083, 0.031167693436145782, 0.02298838086426258, 0.027008501812815666, 0.019403893500566483, 0.02009321190416813, 0.02088865265250206, 0.01762722246348858, 0.018014363944530487, 0.01668035425245762]","[0.016501441597938538, 0.007827536202967167, 0.007886229082942009, 0.023580394685268402, 0.007639695890247822, 0.0034377812407910824, 0.01863590069115162, 0.008286661468446255, 0.018754348158836365, 0.00872843898832798]","[0.191826730966568, 0.13595178723335266, 0.12292041629552841, 0.13173125684261322, 0.1118699386715889, 0.11253738403320312, 0.11104655265808105, 0.10385768860578537, 0.10802242904901505, 0.10484486073255539]","[0.11765588819980621, 0.0739726722240448, 0.07455074042081833, 0.14502376317977905, 0.07298065721988678, 0.045612819492816925, 0.12627649307250977, 0.0767277330160141, 0.12625965476036072, 0.07872146368026733]",50.92005205154419
5,19,"[0.05706345662474632, 0.038859374821186066, 0.03171847015619278, 0.028339136391878128, 0.023992357775568962, 0.02085156925022602, 0.0212234053760767, 0.01811462640762329, 0.01761549711227417, 0.01919490098953247]","[0.04445832222700119, 0.02020271122455597, 0.017038507387042046, 0.0132420239970088, 0.019788067787885666, 0.011293115094304085, 0.006540628150105476, 0.014742028899490833, 0.010000227019190788, 0.004859869368374348]","[0.19618619978427887, 0.1630798876285553, 0.14387108385562897, 0.13399361073970795, 0.11735741794109344, 0.11797236651182175, 0.11691518127918243, 0.11074278503656387, 0.10636670887470245, 0.11626048386096954]","[0.20385971665382385, 0.1315145492553711, 0.1184292584657669, 0.10087205469608307, 0.1288522183895111, 0.09084425121545792, 0.0655338242650032, 0.10720513761043549, 0.08466697484254837, 0.054161541163921356]",48.698092460632324
10,0,"[0.05254358798265457, 0.023910239338874817, 0.022934235632419586, 0.01611287333071232, 0.016719946637749672, 0.0190852340310812, 0.015712721273303032, 0.017542367801070213, 0.015537749044597149, 0.013526281341910362]","[0.013992870226502419, 0.02352246083319187, 0.017514651641249657, 0.02274993620812893, 0.013683434575796127, 0.007500666659325361, 0.012058078311383724, 0.0032257221173495054, 0.00829214695841074, 0.007154777180403471]","[0.17557527124881744, 0.12581707537174225, 0.12091372162103653, 0.10082888603210449, 0.10358770191669464, 0.11493333429098129, 0.10394064337015152, 0.10828845202922821, 0.09822674095630646, 0.09623012691736221]","[0.10773350298404694, 0.14519727230072021, 0.12281361222267151, 0.14160490036010742, 0.10513075441122055, 0.07220052182674408, 0.0968545451760292, 0.04545731097459793, 0.07704965770244598, 0.07065839320421219]",48.420291900634766
10,1,"[0.053588367998600006, 0.02236810140311718, 0.028620567172765732, 0.01770731993019581, 0.017818806692957878, 0.02031620591878891, 0.01755513623356819, 0.014544890262186527, 0.014303534291684628, 0.014784817583858967]","[0.03519575670361519, 0.0062281666323542595, 0.010537239722907543, 0.02701698988676071, 0.01348988525569439, 0.010220745578408241, 0.009139093570411205, 0.006459722761064768, 0.008218759670853615, 0.003087066113948822]","[0.18094481527805328, 0.12159521877765656, 0.1342485249042511, 0.10705622285604477, 0.10932877659797668, 0.11312606185674667, 0.10528404265642166, 0.09858998656272888, 0.09532540291547775, 0.09965794533491135]","[0.1802080273628235, 0.06394816935062408, 0.0901125892996788, 0.15629656612873077, 0.10495883971452713, 0.08753512799739838, 0.08170277625322342, 0.0663444995880127, 0.07649402320384979, 0.045171789824962616]",49.38629150390625
10,2,"[0.05722960829734802, 0.026084577664732933, 0.021618332713842392, 0.01724393106997013, 0.01963474415242672, 0.017663273960351944, 0.014236938208341599, 0.014354239217936993, 0.013484463095664978, 0.01292948517948389]","[0.04963169991970062, 0.012613139115273952, 0.007633118890225887, 0.009732388891279697, 0.005166948772966862, 0.00941958837211132, 0.007052278611809015, 0.011341823264956474, 0.006260399241000414, 0.010659217834472656]","[0.1850394308567047, 0.13143131136894226, 0.11598207801580429, 0.10580353438854218, 0.11603789776563644, 0.10564728081226349, 0.09678138792514801, 0.09759577363729477, 0.097690649330616, 0.09549304097890854]","[0.21654081344604492, 0.09980855137109756, 0.07216043770313263, 0.08391685783863068, 0.05680675059556961, 0.08199197798967361, 0.06921891868114471, 0.09111994504928589, 0.06424129009246826, 0.088177390396595]",49.85083770751953
