#mode,#try,loss,val_loss,mae,val_mae,train_time
single,27,"[0.058819398283958435, 0.028767505660653114, 0.02438707835972309, 0.020670777186751366, 0.026273205876350403]","[0.02639324963092804, 0.03607198968529701, 0.013581003993749619, 0.004499803297221661, 0.013337361626327038]","[0.19958025217056274, 0.1348981261253357, 0.12498122453689575, 0.11769315600395203, 0.13414426147937775]","[0.15368007123470306, 0.1824227273464203, 0.10433976352214813, 0.0521678626537323, 0.10261158645153046]",19.01453447341919
single,28,"[0.053700897842645645, 0.037581928074359894, 0.02704581804573536, 0.02586393989622593, 0.022690942510962486]","[0.018497448414564133, 0.022227996960282326, 0.03360139578580856, 0.01431963499635458, 0.014652817510068417]","[0.18424023687839508, 0.154213547706604, 0.1305222362279892, 0.12779809534549713, 0.11837519705295563]","[0.12756696343421936, 0.14204588532447815, 0.17776723206043243, 0.11130747944116592, 0.1126793697476387]",18.70926308631897
single,29,"[0.06739076226949692, 0.037540141493082047, 0.02676423080265522, 0.02922445721924305, 0.020807409659028053]","[0.054158952087163925, 0.03921310603618622, 0.020507480949163437, 0.015121829695999622, 0.02891361154615879]","[0.2079416662454605, 0.15676778554916382, 0.1328376680612564, 0.1403581202030182, 0.11613204330205917]","[0.226642906665802, 0.19104085862636566, 0.1338222622871399, 0.11186533421278, 0.1620129495859146]",19.492553234100342
single,30,"[0.0415288582444191, 0.03490602225065231, 0.020797427743673325, 0.027639951556921005, 0.024825021624565125]","[0.008230834268033504, 0.007716403808444738, 0.02087763324379921, 0.017268218100070953, 0.004653235897421837]","[0.1628231555223465, 0.14951758086681366, 0.11233964562416077, 0.1344538778066635, 0.12576599419116974]","[0.07536064833402634, 0.07209806144237518, 0.13305434584617615, 0.11848048865795135, 0.05229024961590767]",18.55424189567566
single,31,"[0.05777795612812042, 0.03755482658743858, 0.02941215969622135, 0.019733553752303123, 0.02110988460481167]","[0.06536057591438293, 0.013458826579153538, 0.02534622699022293, 0.0173165462911129, 0.024184899404644966]","[0.1913478821516037, 0.1496836543083191, 0.1420641839504242, 0.11198873072862625, 0.11915166676044464]","[0.2503068447113037, 0.10408980399370193, 0.1504909098148346, 0.12139692157506943, 0.14625297486782074]",23.710407733917236
single,32,"[0.05105728656053543, 0.03731934353709221, 0.026135876774787903, 0.026292314752936363, 0.021144729107618332]","[0.021823490038514137, 0.030338658019900322, 0.020311806350946426, 0.029390433803200722, 0.04298514500260353]","[0.18915289640426636, 0.15337328612804413, 0.12914641201496124, 0.13102267682552338, 0.11831451207399368]","[0.13887323439121246, 0.16681267321109772, 0.13287624716758728, 0.1629980206489563, 0.2002408802509308]",18.509923696517944
single,33,"[0.04738382622599602, 0.03149915114045143, 0.025689655914902687, 0.024655677378177643, 0.021343305706977844]","[0.04290979728102684, 0.02897302433848381, 0.006706536747515202, 0.025130711495876312, 0.015275025740265846]","[0.1741754412651062, 0.14702004194259644, 0.1261305809020996, 0.12170278280973434, 0.1209494024515152]","[0.20050892233848572, 0.16192626953125, 0.06581955403089523, 0.14911536872386932, 0.11125069856643677]",18.869718551635742
single,34,"[0.038712818175554276, 0.030323991551995277, 0.03581135347485542, 0.030635973438620567, 0.01981406658887863]","[0.061770569533109665, 0.005447830073535442, 0.025039341300725937, 0.01486838236451149, 0.014707338996231556]","[0.15751931071281433, 0.1392206847667694, 0.14316636323928833, 0.14158423244953156, 0.10878819227218628]","[0.2433820366859436, 0.05961279198527336, 0.15030537545681, 0.1115364283323288, 0.11030065268278122]",19.485938787460327
single,35,"[0.03969813510775566, 0.027064068242907524, 0.022774210199713707, 0.0289145614951849, 0.02304941788315773]","[0.05420567840337753, 0.026479091495275497, 0.022483104839920998, 0.03780953213572502, 0.025755438953638077]","[0.1589941531419754, 0.13562026619911194, 0.11972223967313766, 0.13293534517288208, 0.12075889110565186]","[0.2278696447610855, 0.1558007001876831, 0.1425648331642151, 0.18804295361042023, 0.153152734041214]",23.716963529586792
single,36,"[0.06251590698957443, 0.029242297634482384, 0.02495279349386692, 0.02342234179377556, 0.024822760373353958]","[0.018132317811250687, 0.021621787920594215, 0.011850413866341114, 0.0107136070728302, 0.005316148977726698]","[0.18929877877235413, 0.14691904187202454, 0.13111640512943268, 0.12461819499731064, 0.12698769569396973]","[0.12380842864513397, 0.1369680017232895, 0.09466587752103806, 0.08845444023609161, 0.05742942914366722]",19.49898099899292
single,37,"[0.05959690734744072, 0.03229352459311485, 0.026923278346657753, 0.019283024594187737, 0.02010001242160797]","[0.04098096862435341, 0.018198395147919655, 0.01551975216716528, 0.00923711247742176, 0.014859689399600029]","[0.19603084027767181, 0.14897915720939636, 0.13207660615444183, 0.11229894310235977, 0.11783626675605774]","[0.1955585479736328, 0.12482859194278717, 0.11378023773431778, 0.08222733438014984, 0.11069517582654953]",18.66013240814209
single,38,"[0.05051125958561897, 0.03015414997935295, 0.027853334322571754, 0.02174386754631996, 0.02136620506644249]","[0.026173656806349754, 0.02631765604019165, 0.01167517900466919, 0.00978750642389059, 0.013136280700564384]","[0.1725667119026184, 0.13853459060192108, 0.13581940531730652, 0.12026982009410858, 0.11589448899030685]","[0.152413472533226, 0.1525024175643921, 0.0934324786067009, 0.08309035003185272, 0.09976126998662949]",19.556432962417603
single,39,"[0.060460273176431656, 0.03521350026130676, 0.02948763035237789, 0.028886523097753525, 0.024778924882411957]","[0.028151851147413254, 0.010569563135504723, 0.01149544958025217, 0.014765338972210884, 0.027456479147076607]","[0.19270983338356018, 0.144510418176651, 0.14092522859573364, 0.13299888372421265, 0.12733787298202515]","[0.1595279425382614, 0.09079526364803314, 0.096335269510746, 0.11190304905176163, 0.15846583247184753]",18.978466272354126
single,40,"[0.04900180175900459, 0.0278234351426363, 0.01989181526005268, 0.019608890637755394, 0.017699865624308586]","[0.012910684570670128, 0.012874215841293335, 0.0037942593917250633, 0.004154342692345381, 0.004691710229963064]","[0.17197710275650024, 0.13224023580551147, 0.11392688006162643, 0.11413319408893585, 0.1087213009595871]","[0.10051187872886658, 0.09926927834749222, 0.04613093286752701, 0.04913691431283951, 0.05305594950914383]",18.71317148208618
single,41,"[0.03946761041879654, 0.030004920437932014, 0.02551853470504284, 0.020291388034820557, 0.020267991349101067]","[0.02467755414545536, 0.005230968818068504, 0.008817329071462154, 0.010892081074416637, 0.010325146839022636]","[0.15930989384651184, 0.14587758481502533, 0.12939554452896118, 0.11594218015670776, 0.11257024109363556]","[0.1474756896495819, 0.05695103108882904, 0.07917661964893341, 0.09038593620061874, 0.08759517967700958]",18.534751892089844
single,42,"[0.07023787498474121, 0.04004836454987526, 0.025881323963403702, 0.022178517654538155, 0.022367166355252266]","[0.02748926356434822, 0.03865605965256691, 0.013646773993968964, 0.03521920368075371, 0.010873265564441681]","[0.20911434292793274, 0.1619483083486557, 0.13077814877033234, 0.12150385230779648, 0.12114414572715759]","[0.1568194478750229, 0.18907469511032104, 0.1041293814778328, 0.17973735928535461, 0.09044254571199417]",23.90747332572937
single,43,"[0.0677303895354271, 0.03892805427312851, 0.0327409990131855, 0.02514142543077469, 0.02174532040953636]","[0.02950773760676384, 0.040675338357686996, 0.00955912470817566, 0.01452120952308178, 0.022201990708708763]","[0.20188355445861816, 0.15875819325447083, 0.14817316830158234, 0.12648680806159973, 0.11600657552480698]","[0.16455568373203278, 0.19557969272136688, 0.085246242582798, 0.11070627719163895, 0.1407242864370346]",19.451735496520996
single,44,"[0.05396152287721634, 0.029263518750667572, 0.025602180510759354, 0.023432275280356407, 0.021810313686728477]","[0.03609080612659454, 0.024324841797351837, 0.025076165795326233, 0.02064884454011917, 0.040031448006629944]","[0.18201081454753876, 0.14067165553569794, 0.12891551852226257, 0.1197112500667572, 0.11757159233093262]","[0.18379367887973785, 0.1485237181186676, 0.15143099427223206, 0.13605524599552155, 0.19428059458732605]",23.797049045562744
single,45,"[0.05346515402197838, 0.03387673944234848, 0.028750505298376083, 0.01991443894803524, 0.024705762043595314]","[0.015655385330319405, 0.007859614677727222, 0.005951979663223028, 0.0054501560516655445, 0.007782366126775742]","[0.190597802400589, 0.14931164681911469, 0.12951190769672394, 0.11313413828611374, 0.12380241602659225]","[0.11304410547018051, 0.07230740040540695, 0.06138046458363533, 0.05814584344625473, 0.07269797474145889]",19.4490487575531
single,46,"[0.06374341249465942, 0.0380186028778553, 0.027834739536046982, 0.025286592543125153, 0.024227892979979515]","[0.017159804701805115, 0.010497970506548882, 0.013946419581770897, 0.044239141047000885, 0.02584424987435341]","[0.20077256858348846, 0.16075651347637177, 0.13443878293037415, 0.1200098842382431, 0.12117957323789597]","[0.12088674306869507, 0.09003686904907227, 0.1079939752817154, 0.2053638994693756, 0.15377114713191986]",23.72332453727722
single,47,"[0.0374830886721611, 0.03086722642183304, 0.02148151956498623, 0.017716117203235626, 0.025094354525208473]","[0.029552508145570755, 0.022068923339247704, 0.023928025737404823, 0.02300763502717018, 0.02185092680156231]","[0.15393801033496857, 0.1394158899784088, 0.11645279824733734, 0.10706127434968948, 0.12917058169841766]","[0.16327375173568726, 0.13867555558681488, 0.1450297236442566, 0.14153818786144257, 0.1365947723388672]",19.63563632965088
single,48,"[0.05335744097828865, 0.028566550463438034, 0.02325318567454815, 0.02395801804959774, 0.021636690944433212]","[0.016857659444212914, 0.01940707303583622, 0.006774215493351221, 0.012636101804673672, 0.010346107184886932]","[0.1772221028804779, 0.1369032859802246, 0.12635226547718048, 0.12338285893201828, 0.11551801860332489]","[0.12040514498949051, 0.13041889667510986, 0.06819437444210052, 0.10082131624221802, 0.08854088187217712]",19.046027898788452
single,49,"[0.05131147429347038, 0.029593273997306824, 0.019093817099928856, 0.024945197626948357, 0.02221645787358284]","[0.015588385984301567, 0.010777503252029419, 0.020396482199430466, 0.004754258785396814, 0.005765272304415703]","[0.18367387354373932, 0.142650306224823, 0.11127181351184845, 0.12280593812465668, 0.117702916264534]","[0.11393338441848755, 0.09094428271055222, 0.1333208680152893, 0.05465265363454819, 0.06147842854261398]",18.48113203048706
single,50,"[0.046174246817827225, 0.026784993708133698, 0.02997128665447235, 0.023151172325015068, 0.023357121273875237]","[0.008350715972483158, 0.00876761693507433, 0.02238200232386589, 0.02155468612909317, 0.005615921225398779]","[0.1637357473373413, 0.12857334315776825, 0.1362524926662445, 0.12181782722473145, 0.12461867928504944]","[0.07811648398637772, 0.08105289191007614, 0.14181938767433167, 0.13903824985027313, 0.06101875379681587]",19.656240701675415
single,51,"[0.04464821517467499, 0.0323156863451004, 0.02938074991106987, 0.025817103683948517, 0.021230801939964294]","[0.0421614907681942, 0.018156934529542923, 0.014649467542767525, 0.03140830621123314, 0.022906742990016937]","[0.16639858484268188, 0.14349082112312317, 0.1348130851984024, 0.1262638419866562, 0.12142831832170486]","[0.19804956018924713, 0.12432283163070679, 0.10972970724105835, 0.16967052221298218, 0.1423100382089615]",18.547229290008545
single,52,"[0.060193032026290894, 0.031739845871925354, 0.022740840911865234, 0.025467129424214363, 0.02299794740974903]","[0.019143121317029, 0.0090109808370471, 0.01411828026175499, 0.006482795346528292, 0.005751552991569042]","[0.18966194987297058, 0.1417374610900879, 0.11978168040513992, 0.12709514796733856, 0.11814028769731522]","[0.12765833735466003, 0.07962155342102051, 0.10551638156175613, 0.06492504477500916, 0.0601072683930397]",19.54801630973816
single,53,"[0.05947142466902733, 0.03357788920402527, 0.02462645247578621, 0.021692393347620964, 0.023303387686610222]","[0.020883366465568542, 0.019763384014368057, 0.021076196804642677, 0.019641518592834473, 0.015722142532467842]","[0.19687612354755402, 0.1434304267168045, 0.1256793886423111, 0.1193055585026741, 0.11979013681411743]","[0.13556219637393951, 0.13152216374874115, 0.13662093877792358, 0.13104310631752014, 0.11518682539463043]",18.67132306098938
single,54,"[0.06422890722751617, 0.027392566204071045, 0.02944859303534031, 0.02364630065858364, 0.023926857858896255]","[0.028836283832788467, 0.032340917736291885, 0.009312815964221954, 0.01818229816854, 0.02518938109278679]","[0.2056550830602646, 0.13589820265769958, 0.14064370095729828, 0.12094498425722122, 0.1236540675163269]","[0.1617754101753235, 0.17237041890621185, 0.08300929516553879, 0.12481648474931717, 0.14985641837120056]",23.719588041305542
single,55,"[0.04344220459461212, 0.026093369349837303, 0.024013547226786613, 0.02300436794757843, 0.019809138029813766]","[0.017912382259964943, 0.005700473673641682, 0.016737276688218117, 0.008819172158837318, 0.029854850843548775]","[0.1665382832288742, 0.12986311316490173, 0.12271764874458313, 0.12412643432617188, 0.10991369187831879]","[0.12411414831876755, 0.06108969822525978, 0.11881270259618759, 0.07944546639919281, 0.1643337607383728]",18.505422830581665
single,56,"[0.03841302916407585, 0.028558427467942238, 0.022340334951877594, 0.017369985580444336, 0.021512828767299652]","[0.006677961442619562, 0.016334081068634987, 0.005220302380621433, 0.022761913016438484, 0.010612606070935726]","[0.15776553750038147, 0.13805502653121948, 0.12151774764060974, 0.10978351533412933, 0.11623063683509827]","[0.06681013852357864, 0.11717721819877625, 0.05775505676865578, 0.14132395386695862, 0.08929067105054855]",18.49315071105957
single,57,"[0.07070635259151459, 0.03229614347219467, 0.024294830858707428, 0.022527504712343216, 0.022654522210359573]","[0.027470741420984268, 0.019635118544101715, 0.017773659899830818, 0.00971888191998005, 0.014019547030329704]","[0.2012275755405426, 0.14821434020996094, 0.12825636565685272, 0.1246708557009697, 0.11813919991254807]","[0.15851359069347382, 0.13228529691696167, 0.12558075785636902, 0.08795531094074249, 0.1094907820224762]",19.898602724075317
single,58,"[0.062413863837718964, 0.02854682318866253, 0.02912455052137375, 0.022179046645760536, 0.01974227838218212]","[0.02504686638712883, 0.020820453763008118, 0.013517018407583237, 0.01001861784607172, 0.01048063300549984]","[0.19140326976776123, 0.13526107370853424, 0.13488471508026123, 0.12030403316020966, 0.11086201667785645]","[0.14896786212921143, 0.13389557600021362, 0.10380373895168304, 0.08542817831039429, 0.08753536641597748]",18.85807466506958
single,59,"[0.057029400020837784, 0.030068347230553627, 0.026263663545250893, 0.02913280948996544, 0.024535177275538445]","[0.03470452129840851, 0.015619195997714996, 0.013270667754113674, 0.011368704959750175, 0.019394436851143837]","[0.18312115967273712, 0.13886408507823944, 0.134154811501503, 0.13450968265533447, 0.1268186867237091]","[0.178884819149971, 0.1139826774597168, 0.10305095463991165, 0.09282559901475906, 0.12881730496883392]",24.614627361297607
single,60,"[0.08558396250009537, 0.035846929997205734, 0.0342901237308979, 0.028686033561825752, 0.02386576682329178]","[0.022860253229737282, 0.02482142485678196, 0.01744963228702545, 0.0257085170596838, 0.013351278379559517]","[0.2239726483821869, 0.15211021900177002, 0.14676262438297272, 0.13366352021694183, 0.12502387166023254]","[0.14302551746368408, 0.14954069256782532, 0.1223900318145752, 0.15194158256053925, 0.10369239002466202]",18.37310767173767
single,61,"[0.05630550906062126, 0.028326526284217834, 0.029289236292243004, 0.028895193710923195, 0.01979839615523815]","[0.0307594146579504, 0.03537480905652046, 0.016207663342356682, 0.014601217582821846, 0.016666924580931664]","[0.19459538161754608, 0.13719728589057922, 0.14118333160877228, 0.13478447496891022, 0.11584729701280594]","[0.16614054143428802, 0.17862221598625183, 0.11303005367517471, 0.10473117232322693, 0.11300028860569]",24.544073581695557
single,62,"[0.05238689109683037, 0.03147806227207184, 0.028348073363304138, 0.02176564373075962, 0.023791780695319176]","[0.06754665076732635, 0.027136988937854767, 0.027910565957427025, 0.03032626584172249, 0.03381906449794769]","[0.19057200849056244, 0.14413794875144958, 0.13598978519439697, 0.12193736433982849, 0.12659676373004913]","[0.25450584292411804, 0.15647131204605103, 0.15904539823532104, 0.16636577248573303, 0.17622119188308716]",18.301414966583252
single,63,"[0.04745966196060181, 0.02423776499927044, 0.021741215139627457, 0.0217608492821455, 0.022049730643630028]","[0.01981130614876747, 0.009620560333132744, 0.008664757013320923, 0.007750479970127344, 0.017410259693861008]","[0.1730802357196808, 0.1242005005478859, 0.11675690114498138, 0.11621832847595215, 0.11634193360805511]","[0.12939605116844177, 0.08206799626350403, 0.076938696205616, 0.0717548355460167, 0.1174694150686264]",19.729814291000366
